article_name,fincen_id,doc_type,doc_title,doc_date,high_level_summary,primary_fraud_families,secondary_fraud_families,specific_schemes_flat,specific_schemes_json,key_red_flags
FIN-2012-A004.pdf,FIN-2012-A004,advisory,FinCEN Advisory – FIN-2012-A004,03/07/2012,"This FinCEN advisory (FIN-2012-A004) informs financial institutions about significant money laundering and terrorist financing risks associated with specific jurisdictions identified by the Financial Action Task Force (FATF).
These jurisdictions are deemed deficient in their anti-money laundering and counter-terrorist financing (AML/CFT) regimes, either by failing to make sufficient progress, lacking political commitment, or being subject to FATF's call for countermeasures.
FinCEN advises financial institutions to implement countermeasures against Iran and the Democratic People's Republic of Korea (DPRK), and to apply enhanced due diligence for numerous other listed countries.
The advisory underscores the critical need for vigilance and appropriate risk mitigation strategies when dealing with these high-risk jurisdictions to combat illicit financial flows.",money_laundering | terrorist_financing | sanctions_evasion,,money_laundering: Laundered proceeds through weak AML/CFT regimes | terrorist_financing: Funding terrorist activities via high-risk countries | sanctions_evasion: Facilitating transactions with sanctioned states,"[{""family"": ""money_laundering"", ""label"": ""Laundered proceeds through weak AML/CFT regimes"", ""notes"": ""Criminal proceeds flowing through financial systems in countries identified by FATF as having significant AML/CFT deficiencies.""}, {""family"": ""terrorist_financing"", ""label"": ""Funding terrorist activities via high-risk countries"", ""notes"": ""Financial support for terrorism processed through jurisdictions with inadequate controls for identifying and freezing terrorist assets, or failing to file STRs related to FT.""}, {""family"": ""sanctions_evasion"", ""label"": ""Facilitating transactions with sanctioned states"", ""notes"": ""Processing transactions directly or indirectly involving Iran or DPRK without implementing required countermeasures.""}]","Transactions initiated by or destined for parties or accounts associated with Iran or Democratic People's Republic of Korea (DPRK), especially if appropriate countermeasures are not evident. | Transactions involving parties or origins/destinations linked to jurisdictions requiring Enhanced Due Diligence as identified by FATF (e.g., Cuba, Syria, Pakistan), particularly if the level of due diligence appears insufficient. | Complex transactions lacking clear economic purpose or transparency, originating from or destined for FATF-identified deficient jurisdictions. | Unusual payment patterns, high volumes of transactions, or atypical financial activity with jurisdictions known for weak AML/CFT regimes. | Requests for financial services or transactions from customers or beneficial owners linked to countries that have failed to implement effective AML/CFT systems or cooperate with FATF. | Customer activity that appears to attempt to circumvent financial controls, reporting requirements, or due diligence procedures when dealing with identified high-risk jurisdictions."
FIN-2012-A005.pdf,FIN-2012-A005,advisory,FinCEN Advisory – FIN-2012-A005,03/30/2012,"FinCEN Advisory FIN-2012-A005 aims to help financial institutions identify and report tax refund fraud, a prevalent scheme often enabled by identity theft. Fraudulent actors acquire Taxpayer Identification Numbers (TINs) through methods like phishing or establishing fake tax preparation businesses. Financial institutions play a critical role because tax refunds, increasingly distributed via direct deposit into bank accounts or prepaid cards, are vulnerable to manipulation. The advisory emphasizes the need for SAR filings that clearly describe suspected tax refund fraud activity.",fraud_government_programs,shell_front_companies,fraud_government_programs: Fraudulent Tax Refund Claims | fraud_government_programs: Direct Deposit of Illicit Refunds | shell_front_companies: Fraudulent Tax Preparation Businesses,"[{""family"": ""fraud_government_programs"", ""label"": ""Fraudulent Tax Refund Claims"", ""notes"": ""Filing false individual income tax returns using stolen Taxpayer Identification Numbers (TINs) and associated names.""}, {""family"": ""fraud_government_programs"", ""label"": ""Direct Deposit of Illicit Refunds"", ""notes"": ""Receiving fraudulently obtained tax refunds via direct deposit into demand deposit accounts or prepaid access card accounts.""}, {""family"": ""shell_front_companies"", ""label"": ""Fraudulent Tax Preparation Businesses"", ""notes"": ""Establishing fake businesses to acquire Taxpayer Identification Numbers (TINs) for identity theft purposes, enabling tax refund fraud.""}]","Multiple tax refund direct deposits into a single account, or across several accounts controlled by the same individual. | Direct deposits of tax refunds into newly opened accounts with little prior activity or accounts inconsistent with the customer's typical financial profile. | Discrepancies between the name of the accountholder receiving a direct deposited tax refund and the name associated with the Taxpayer Identification Number (TIN) on the refund. | Tax refund direct deposits into prepaid access card accounts that are inconsistent with the cardholder's usage patterns or expected profile. | Rapid movement or withdrawal of tax refund funds shortly after direct deposit, especially to beneficiaries unrelated to the account holder. | Accounts receiving tax refunds linked to individuals or entities previously identified as involved in identity theft or fraud schemes. | Activity indicative of a money mule operation, where customers receive tax refunds and quickly forward funds to third parties."
FIN-2012-A006.pdf,FIN-2012-A006,advisory,FinCEN Advisory – FIN-2012-A006,07/18/2012,"This FinCEN Advisory provides an update to financial institutions regarding the impact of Mexican regulatory restrictions on transactions in U.S. currency. It aims to assist institutions in monitoring how these restrictions influence the movement of illicit funds through the U.S. financial system. The advisory highlights observed shifts in illicit actors' methodologies and reminds institutions to be vigilant for changes in transaction patterns across customers, products, services, and geographic locations. It specifically points to activity within narcotics and bulk currency corridors, building on previous FinCEN guidance.",money_laundering | bulk_cash_smuggling,,money_laundering: Adapting fund movement post-restrictions | money_laundering: Traditional illicit fund transfers | bulk_cash_smuggling: Cross-border cash movements,"[{""family"": ""money_laundering"", ""label"": ""Adapting fund movement post-restrictions"", ""notes"": ""Illicit actors shifting techniques to move funds through U.S. institutions in response to Mexican currency restrictions.""}, {""family"": ""money_laundering"", ""label"": ""Traditional illicit fund transfers"", ""notes"": ""Continuation of previously observed methods for moving illicit funds, despite new regulations.""}, {""family"": ""bulk_cash_smuggling"", ""label"": ""Cross-border cash movements"", ""notes"": ""Exploitation of 'bulk currency corridors' between the U.S. and Mexico to circumvent restrictions.""}]","Significant changes in transaction patterns for customers, products and services, or geographic locations, especially those involving cash. | Activity observed that deviates from commonly seen patterns prior to the Mexican regulatory changes, suggesting new methodologies. | Transactions or activities linked to geographic regions identified as narcotics or bulk currency corridors, particularly with a Mexico nexus. | Detection of new or adapted techniques used by illicit actors to move funds following the implementation of U.S. currency restrictions in Mexico."
FIN-2012-A007.pdf,FIN-2012-A007,advisory,FinCEN Advisory – FIN-2012-A007,07/19/2012,"This FinCEN advisory informs U.S. financial institutions about elevated money laundering and terrorist financing risks associated with numerous jurisdictions identified by the Financial Action Task Force (FATF) in June 2012. These countries have strategic deficiencies in their anti-money laundering and counter-terrorist financing (AML/CFT) regimes, despite providing high-level political commitments to address them. Financial institutions are advised to apply a risk-based approach to transactions involving these jurisdictions. The advisory also notes Turkmenistan's removal from the FATF review process due to substantial AML/CFT improvements.",money_laundering | terrorist_financing,,terrorist_financing: Inadequate criminalization of terrorist financing | terrorist_financing: Failure to identify and freeze terrorist assets | money_laundering: Weak or non-operational Financial Intelligence Units (FIU) | money_laundering: Poor international cooperation on ML/TF,"[{""family"": ""terrorist_financing"", ""label"": ""Inadequate criminalization of terrorist financing"", ""notes"": ""Jurisdictions lacking sufficient legal frameworks to prosecute individuals or entities involved in terrorist financing.""}, {""family"": ""terrorist_financing"", ""label"": ""Failure to identify and freeze terrorist assets"", ""notes"": ""Inability of jurisdictions to effectively interdict and freeze funds linked to terrorist activities.""}, {""family"": ""money_laundering"", ""label"": ""Weak or non-operational Financial Intelligence Units (FIU)"", ""notes"": ""Jurisdictions having FIUs that are not fully functional or effective in combating money laundering and terrorist financing.""}, {""family"": ""money_laundering"", ""label"": ""Poor international cooperation on ML/TF"", ""notes"": ""Limited or ineffective information sharing and coordination with international partners on money laundering and terrorist financing investigations.""}]","Transactions involving individuals, entities, or financial institutions based in the identified jurisdictions with strategic AML/CFT deficiencies. | Unusual or complex transaction patterns with no clear economic purpose, especially when originating from or destined for these high-risk countries. | Funds transfers to or from jurisdictions known for insufficient legal frameworks to criminalize terrorist financing or freeze terrorist assets. | Difficulty in verifying the identity or beneficial ownership of parties involved in transactions linked to these jurisdictions due to potential weaknesses in their regulatory oversight. | Requests for correspondent banking services from institutions in these jurisdictions that do not demonstrate robust AML/CFT controls. | Transactions that appear to be structured to avoid reporting thresholds, particularly when involving the listed high-risk countries."
FIN-2012-A008.pdf,FIN-2012-A008,advisory,FinCEN Advisory – FIN-2012-A008,07/20/2012,"This FinCEN advisory informs financial institutions about the heightened risks of money laundering and terrorist financing associated with jurisdictions identified by the Financial Action Task Force (FATF) in June 2012. These jurisdictions have deficiencies in their anti-money laundering and counter-terrorist financing (AML/CFT) regimes and have not made sufficient progress or political commitment to address them. The advisory calls for countermeasures against Iran and the Democratic People's Republic of Korea (DPRK), and enhanced due diligence for a list of other specified countries. Financial institutions are advised to apply heightened scrutiny to mitigate illicit finance risks stemming from these jurisdictions.",money_laundering | terrorist_financing,,money_laundering: Funds transfers through jurisdictions with deficient AML/CFT regimes | terrorist_financing: Terrorist financing via jurisdictions with weak CFT safeguards | money_laundering: Transactions involving jurisdictions subject to FATF countermeasures,"[{""family"": ""money_laundering"", ""label"": ""Funds transfers through jurisdictions with deficient AML/CFT regimes"", ""notes"": ""Involving countries identified by FATF as having insufficient AML/CFT controls.""}, {""family"": ""terrorist_financing"", ""label"": ""Terrorist financing via jurisdictions with weak CFT safeguards"", ""notes"": ""Transactions involving countries failing to implement adequate measures against terrorist financing.""}, {""family"": ""money_laundering"", ""label"": ""Transactions involving jurisdictions subject to FATF countermeasures"", ""notes"": ""Specifically Iran and DPRK, requiring stringent due diligence and reporting.""}]","Transactions involving Iran or the Democratic People's Republic of Korea (DPRK), which are subject to FATF countermeasures. | Transactions involving Bolivia, Cuba, Ecuador, Ethiopia, Ghana, Indonesia, Kenya, Myanmar, Nigeria, Pakistan, São Tomé and Príncipe, Sri Lanka, Syria, Tanzania, Thailand, Turkey, Vietnam, or Yemen, which require enhanced due diligence. | Financial institutions in a jurisdiction not implementing adequate procedures for identifying and freezing terrorist assets. | Financial institutions in a jurisdiction not aware of or complying with their obligations to file suspicious transaction reports (STRs) related to money laundering and terrorist financing. | A jurisdiction lacking appropriate laws and procedures to provide mutual legal assistance for money laundering and terrorist financing cases."
FIN-2012-A009.pdf,FIN-2012-A009,advisory,FinCEN Advisory – FIN-2012-A009,08/16/2012,"This FinCEN Advisory (FIN-2012-A009) provides guidance to financial institutions on identifying and reporting suspicious activity related to mortgage loan fraud. It consolidates common fraud schemes and potential red flags to enhance detection and reporting capabilities. The advisory aims to assist law enforcement, protect financial institutions and their customers from financial loss, and support the stability of the housing markets and the U.S. financial system, in part by supporting a HUD mortgage fraud initiative.",fraud_government_programs,,fraud_government_programs: Straw Buyer Schemes | fraud_government_programs: Illicit Property Flipping | fraud_government_programs: Income/Employment Misrepresentation,"[{""family"": ""fraud_government_programs"", ""label"": ""Straw Buyer Schemes"", ""notes"": ""Using nominee or unqualified borrowers to obtain mortgages, often with no intent to occupy the property or make payments.""}, {""family"": ""fraud_government_programs"", ""label"": ""Illicit Property Flipping"", ""notes"": ""Rapid resale of properties at artificially inflated prices through fraudulent appraisals or other misrepresentations.""}, {""family"": ""fraud_government_programs"", ""label"": ""Income/Employment Misrepresentation"", ""notes"": ""Falsifying a borrower's income, employment, or asset information on loan applications to qualify for a mortgage.""}]","Inconsistent or conflicting information across loan application documents (e.g., income, employment, assets, residency). | Property values increasing rapidly and significantly within a short timeframe, especially with successive transactions involving the same parties. | Borrower shows little interest in the property itself, the details of the loan, or the closing process, often deferring to a third party. | Use of a power of attorney for transactions where the borrower is readily available or in circumstances that appear unusual. | Multiple transactions involving the same property or parties (e.g., borrower, lender, appraiser) in a short period. | Undisclosed or unverified third parties involved in the loan transaction, payments, or property management. | Applicant's stated income or employment history appears inconsistent with their age, education, or previous job experience. | Cash-out refinance applications filed shortly after a previous purchase, especially when no significant improvements have been made to the property."
FIN-2012-A010.pdf,FIN-2012-A010,advisory,FinCEN Advisory – FIN-2012-A010,10/22/2012,"FinCEN Advisory FIN-2012-A010 provides guidance to financial institutions regarding the money laundering, identity theft, and fraud risks associated with Third-Party Payment Processors (TPPPs). It instructs financial institutions on filing Suspicious Activity Reports (SARs) for TPPP activities, emphasizing that high-risk merchants, particularly those involved in telemarketing and Internet sales, present increased vulnerability to illicit finance. The advisory highlights methods used by TPPPs to obscure fraudulent activity, such as manipulating return rates, to aid in detecting and reporting suspicious transactions. Financial institutions must understand these risks to protect the U.S. financial system.",money_laundering | synthetic_identity,terrorist_financing,money_laundering: Processing illicit proceeds | money_laundering: Obscuring high-risk activity | synthetic_identity: Facilitating identity theft transactions,"[{""family"": ""money_laundering"", ""label"": ""Processing illicit proceeds"", ""notes"": ""TPPPs process transactions from predicate criminal activities (e.g., fraud) for high-risk merchants, commingling illicit funds within their accounts.""}, {""family"": ""money_laundering"", ""label"": ""Obscuring high-risk activity"", ""notes"": ""TPPPs use multiple or separate deposit accounts, including Returned Check Consolidation Accounts, to disposition returned items and hide high return/error rates, making it difficult for financial institutions to assess risk and identify suspicious activity.""}, {""family"": ""synthetic_identity"", ""label"": ""Facilitating identity theft transactions"", ""notes"": ""TPPPs process payments for merchants engaged in identity theft or using stolen identity information for fraudulent transactions.""}]","A TPPP's merchant customer base consists primarily of telemarketing or Internet sales entities, which are identified as higher risk due to increased incidences of consumer fraud. | A TPPP uses multiple accounts to process or disposition returned items, especially if this practice obscures a high return/error rate for the Payment Processor or its merchants. | High volume of returned checks, chargebacks, or unauthorized debits associated with a TPPP's activity, particularly if these returns are processed through different accounts. | Lack of transparency from the TPPP regarding its merchant clients, their underlying business activities, geographical scope, or regulatory compliance. | Unusual or unexplained sudden increases in transaction volume or value for a TPPP account, inconsistent with its stated business model or historical activity. | A TPPP processes transactions for merchants that do not have a direct relationship with the TPPP’s financial institution, indicating a potential lack of due diligence."
FIN-2012-A011.pdf,FIN-2012-A011,advisory,FinCEN Advisory – FIN-2012-A011,11/20/2012,"This FinCEN advisory informs U.S. financial institutions about money laundering and terrorist financing risks associated with specific jurisdictions identified by the Financial Action Task Force (FATF). These countries, despite political commitments, have strategic deficiencies in their anti-money laundering and counter-terrorist financing (AML/CFT) regimes. The advisory highlights weaknesses such as inadequate criminalization of terrorist financing, insufficient procedures to freeze terrorist assets, and poorly functioning Financial Intelligence Units. Financial institutions are urged to be aware of these risks and apply appropriate due diligence when dealing with parties or funds linked to these jurisdictions.",money_laundering | terrorist_financing,,money_laundering: Exploiting weak customer due diligence | money_laundering: Lack of suspicious transaction reporting | terrorist_financing: Circumventing terrorist asset freezes | terrorist_financing: Exploiting non-criminalized terrorist financing,"[{""family"": ""money_laundering"", ""label"": ""Exploiting weak customer due diligence"", ""notes"": ""Illicit funds flow undetected due to ineffective customer due diligence measures in identified jurisdictions.""}, {""family"": ""money_laundering"", ""label"": ""Lack of suspicious transaction reporting"", ""notes"": ""Absence or inadequate filing of suspicious transaction reports (STRs) allows money laundering to proceed without detection.""}, {""family"": ""terrorist_financing"", ""label"": ""Circumventing terrorist asset freezes"", ""notes"": ""Lack of procedures to identify and freeze terrorist assets directly facilitates the financing of terrorism.""}, {""family"": ""terrorist_financing"", ""label"": ""Exploiting non-criminalized terrorist financing"", ""notes"": ""Movement of funds for terrorist purposes is not adequately criminalized or enforced in some jurisdictions.""}]","Transactions with individuals or entities domiciled in or having strong ties to the identified high-risk jurisdictions. | Unusual or unexplained wire transfers to or from the listed jurisdictions, especially if lacking a clear economic purpose. | Customers seeking to establish new accounts or conduct transactions with financial institutions in these jurisdictions, particularly if they exhibit reluctance to provide standard due diligence information. | Complex or opaque corporate structures used by entities with links to these jurisdictions, obscuring beneficial ownership. | Attempts to structure transactions below reporting thresholds when funds are being moved to or from these high-risk jurisdictions. | A sudden increase in transaction volume or value with these jurisdictions by an existing customer without a corresponding business explanation. | Customer activity suggesting an intent to circumvent AML/CFT controls of either the U.S. institution or a foreign institution in a high-risk jurisdiction."
FIN-2012-A012.pdf,FIN-2012-A012,advisory,FinCEN Advisory – FIN-2012-A012,11/21/2012,"FinCEN Advisory FIN-2012-A012 provides guidance to financial institutions regarding Anti-Money Laundering (AML) and Counter-Terrorist Financing (CFT) risks, drawing from an FATF public statement. It identifies specific countries requiring countermeasures, namely Iran and the Democratic People's Republic of Korea (DPRK). Additionally, it mandates enhanced due diligence for transactions and relationships involving a broader list of jurisdictions, including Bolivia, Cuba, Ecuador, and Syria, among others, to mitigate illicit finance risks.",money_laundering | terrorist_financing | sanctions_evasion,,money_laundering: Laundering proceeds through high-risk jurisdictions | terrorist_financing: Financing terrorism from designated high-risk states | sanctions_evasion: Evading sanctions against designated regimes | sanctions_evasion: Processing transactions for high-risk jurisdictions,"[{""family"": ""money_laundering"", ""label"": ""Laundering proceeds through high-risk jurisdictions"", ""notes"": ""Facilitating the movement of illicit funds to or from countries requiring enhanced due diligence or countermeasures.""}, {""family"": ""terrorist_financing"", ""label"": ""Financing terrorism from designated high-risk states"", ""notes"": ""Providing financial support to or through jurisdictions identified for AML/CFT countermeasures, such as Iran or DPRK.""}, {""family"": ""sanctions_evasion"", ""label"": ""Evading sanctions against designated regimes"", ""notes"": ""Processing transactions for entities or individuals linked to sanctioned jurisdictions like Iran and DPRK, circumventing international restrictions.""}, {""family"": ""sanctions_evasion"", ""label"": ""Processing transactions for high-risk jurisdictions"", ""notes"": ""Conducting financial activities with countries requiring enhanced due diligence, where sanctions evasion may be a heightened risk if not properly vetted.""}]","Transactions involving or benefiting Iran or the Democratic People's Republic of Korea (DPRK). | Transactions involving jurisdictions identified for enhanced due diligence, such as Bolivia, Cuba, Syria, Myanmar, or Nigeria. | Accounts or customers whose activities primarily involve high-risk jurisdictions listed in the advisory. | Complex or opaque transaction structures with apparent links to designated or high-risk countries. | Transactions lacking a clear economic purpose or legitimate business rationale when involving these identified jurisdictions."
FIN-2013-A001.pdf,FIN-2013-A001,advisory,FinCEN Advisory – FIN-2013-A001,02/26/2013,"FinCEN issued this advisory to update financial institutions on the ongoing threat of tax refund fraud and its close link to identity theft. It highlights the crucial role financial institutions play in identifying and reporting such activity through Suspicious Activity Reports, especially given the increased use of direct deposit for tax refunds. The advisory, developed in consultation with the IRS and law enforcement, aims to provide financial institutions with key indicators to detect potential tax fraud schemes.",fraud_government_programs,synthetic_identity,fraud_government_programs: Fraudulent Tax Refund Claim | fraud_government_programs: Direct Deposit of Fraudulent Refunds | synthetic_identity: Phishing for Identity Information | synthetic_identity: Illicit Tax Preparation Businesses,"[{""family"": ""fraud_government_programs"", ""label"": ""Fraudulent Tax Refund Claim"", ""notes"": ""Filing false income tax returns using stolen Taxpayer Identification Numbers (TINs) to claim illicit refunds.""}, {""family"": ""fraud_government_programs"", ""label"": ""Direct Deposit of Fraudulent Refunds"", ""notes"": ""Utilizing direct deposit into demand deposit or prepaid access card accounts to receive illicit tax refunds.""}, {""family"": ""synthetic_identity"", ""label"": ""Phishing for Identity Information"", ""notes"": ""Acquiring TINs and other personal identifiers through phishing schemes to facilitate fraudulent filings.""}, {""family"": ""synthetic_identity"", ""label"": ""Illicit Tax Preparation Businesses"", ""notes"": ""Establishing fraudulent tax preparation services to collect and misuse individuals' identity information for illicit refund claims.""}]","Multiple tax refunds from various filers (different names/TINs) being direct deposited into a single customer account. | Receipt of a tax refund direct deposit into a newly opened account or an account with previously low activity, inconsistent with the customer's profile. | Sudden and unexplained influx of multiple tax refund direct deposits into prepaid access card accounts. | Rapid withdrawal or transfer of funds immediately after a tax refund direct deposit, indicating an attempt to quickly move illicit proceeds. | Multiple accounts, possibly with different named customers, receiving tax refund direct deposits and sharing common identifying information (e.g., address, phone number)."
FIN-2013-A002.pdf,FIN-2013-A002,advisory,FinCEN Advisory – FIN-2013-A002,04/15/2013,"FinCEN issued this advisory to remind U.S. financial institutions to take reasonable, risk-based steps regarding the potential movement and flight of assets related to the ongoing unrest in Syria. It emphasizes the need for enhanced scrutiny, particularly for private banking accounts of senior foreign political figures and their associates, in accordance with Section 312 of the USA PATRIOT Act. The advisory aims to detect and report suspicious activity, including transactions that may involve the proceeds of foreign corruption or other illicit funds originating from Syria.",money_laundering | corruption_bribery | sanctions_evasion,,money_laundering: Flight of illicit assets from Syria | corruption_bribery: Laundering proceeds of foreign corruption | sanctions_evasion: Evading financial restrictions on Syrian assets,"[{""family"": ""money_laundering"", ""label"": ""Flight of illicit assets from Syria"", ""notes"": ""Movement of assets by individuals or entities associated with Syrian unrest, often through private banking accounts.""}, {""family"": ""corruption_bribery"", ""label"": ""Laundering proceeds of foreign corruption"", ""notes"": ""Transactions involving assets from senior foreign political figures in Syria or their close associates.""}, {""family"": ""sanctions_evasion"", ""label"": ""Evading financial restrictions on Syrian assets"", ""notes"": ""Using financial institutions to move funds despite potential prohibitions related to the Syrian regime or its associates.""}]","Unusual or sudden movement of significant assets by individuals or entities linked to Syria, particularly through private banking accounts. | Accounts or transactions involving Senior Foreign Political Figures from Syria, their immediate family, or close associates. | Activity inconsistent with the customer's stated occupation, business, or historical financial patterns, especially for Syrian-linked accounts. | Complex transaction structures or the use of multiple financial institutions for Syrian-related funds without clear economic justification. | Customers with connections to Syria who are reluctant to provide information or provide conflicting details about source of funds or purpose of transactions."
FIN-2013-A003.pdf,FIN-2013-A003,advisory,FinCEN Advisory – FIN-2013-A003,04/24/2013,"This FinCEN advisory informs U.S. financial institutions about money laundering and terrorist financing risks associated with specific jurisdictions identified by the Financial Action Task Force (FATF). These countries have strategic deficiencies in their Anti-Money Laundering/Counter-Terrorist Financing (AML/CFT) regimes, although they have committed to addressing these issues. The advisory details common deficiencies, such as inadequate criminalization of illicit finance and weak suspicious transaction reporting. It also acknowledges Ghana and Venezuela for their substantial AML/CFT improvements and removal from the FATF review process.",money_laundering | terrorist_financing,proliferation_financing,money_laundering: Exploiting weak criminalization | money_laundering: Abusing weak CDD/STR | terrorist_financing: Avoiding asset freezing,"[{""family"": ""money_laundering"", ""label"": ""Exploiting weak criminalization"", ""notes"": ""Utilizing jurisdictions where money laundering is not adequately criminalized or effectively prosecuted.""}, {""family"": ""money_laundering"", ""label"": ""Abusing weak CDD/STR"", ""notes"": ""Exploiting insufficient customer due diligence (CDD) measures or inadequate suspicious transaction reporting (STR) obligations.""}, {""family"": ""terrorist_financing"", ""label"": ""Avoiding asset freezing"", ""notes"": ""Leveraging jurisdictions with inadequate procedures to identify and freeze terrorist assets.""}]","Transactions originating from or destined to the specified high-risk jurisdictions. | Accounts opened by individuals or entities with a primary connection to the listed countries. | Complex or opaque transactions involving these jurisdictions that lack clear economic purpose. | Unusual transaction patterns or volumes for accounts tied to these countries, inconsistent with the customer's stated business or known profile. | Difficulties in obtaining information about source of funds or beneficial ownership for parties in these jurisdictions. | Weak or non-existent AML/CFT controls observed in correspondent banking relationships with institutions from these countries."
FIN-2013-A004.pdf,FIN-2013-A004,advisory,FinCEN Advisory - FIN-2013-A004,04/23/2013,"FinCEN Advisory FIN-2013-A004 provides guidance to financial institutions on Anti-Money Laundering (AML) and Counter-Terrorist Financing (CFT) risks, aligning with a Financial Action Task Force (FATF) public statement. It mandates specific countermeasures for transactions involving Iran and the Democratic People's Republic of Korea (DPRK) due to significant AML/CFT deficiencies. Additionally, the advisory requires enhanced due diligence for transactions linked to numerous other identified high-risk jurisdictions.",money_laundering | terrorist_financing | sanctions_evasion,proliferation_financing,money_laundering: Laundering proceeds from high-risk jurisdictions | terrorist_financing: Funding terrorist organizations | sanctions_evasion: Evading sanctions against Iran or DPRK | proliferation_financing: Financing WMD proliferation activities,"[{""family"": ""money_laundering"", ""label"": ""Laundering proceeds from high-risk jurisdictions"", ""notes"": ""Financial institutions failing to apply appropriate AML controls for funds originating from or transiting through listed countries with AML/CFT deficiencies.""}, {""family"": ""terrorist_financing"", ""label"": ""Funding terrorist organizations"", ""notes"": ""Transactions intended to finance terrorist groups or activities, especially those with links to designated high-risk jurisdictions.""}, {""family"": ""sanctions_evasion"", ""label"": ""Evading sanctions against Iran or DPRK"", ""notes"": ""Processing transactions for or on behalf of individuals, entities, or governments subject to U.S. and international sanctions, particularly those involving Iran and DPRK.""}, {""family"": ""proliferation_financing"", ""label"": ""Financing WMD proliferation activities"", ""notes"": ""Financial support for the development, acquisition, or transfer of weapons of mass destruction, especially related to Iran and DPRK.""}]","Transactions originating from, destined for, or involving individuals/entities in Iran or the Democratic People's Republic of Korea (DPRK). | Transactions involving individuals or entities located in, or with links to, Ecuador, Ethiopia, Indonesia, Kenya, Myanmar, Nigeria, Pakistan, São Tomé and Príncipe, Syria, Tanzania, Turkey, Vietnam, and Yemen. | Complex transaction structures, unusual payment methods, or attempts to obscure true beneficiaries involving high-risk jurisdictions without clear economic justification. | Accounts or transactions displaying a lack of appropriate enhanced due diligence measures applied to relationships or activities associated with identified high-risk jurisdictions. | Clients attempting to route payments or establish relationships through third countries to avoid scrutiny related to sanctioned or high-risk jurisdictions."
FIN-2013-A005.pdf,FIN-2013-A005,advisory,FinCEN Advisory – FIN-2013-A005,07/01/2013,"This FinCEN Advisory updates financial institutions on the ongoing illicit finance threat from North Korea (DPRK), including money laundering, proliferation financing, and terrorism finance. It provides guidance concerning UN Security Council Resolutions 2087 and 2094, which impose expanded sanctions against the DPRK's nuclear and ballistic missile programs. Financial institutions must apply enhanced monitoring to prevent involvement in North Korea's deceptive activities, such as sanctions evasion, currency counterfeiting, and drug trafficking. The advisory underscores the importance of freezing assets and preventing financial services that could contribute to the DPRK's illicit programs.",sanctions_evasion | proliferation_financing | money_laundering,terrorist_financing | bulk_cash_smuggling,sanctions_evasion: Evading UN Security Council Resolutions | sanctions_evasion: Using deceptive activity | proliferation_financing: Funding WMD programs | money_laundering: Laundering proceeds of counterfeiting | money_laundering: Laundering proceeds of drug trafficking | bulk_cash_smuggling: Smuggling cash for WMD programs,"[{""family"": ""sanctions_evasion"", ""label"": ""Evading UN Security Council Resolutions"", ""notes"": ""Evading measures imposed by UNSCRs 1718, 1874, 2087, and 2094 related to DPRK.""}, {""family"": ""sanctions_evasion"", ""label"": ""Using deceptive activity"", ""notes"": ""Employing deceptive practices to hide transactions from financial institutions.""}, {""family"": ""proliferation_financing"", ""label"": ""Funding WMD programs"", ""notes"": ""Providing financial services or assets that could contribute to the DPRK’s nuclear or ballistic missile programs.""}, {""family"": ""money_laundering"", ""label"": ""Laundering proceeds of counterfeiting"", ""notes"": ""Laundering illicit proceeds derived from currency counterfeiting activities.""}, {""family"": ""money_laundering"", ""label"": ""Laundering proceeds of drug trafficking"", ""notes"": ""Laundering illicit proceeds derived from drug trafficking activities.""}, {""family"": ""bulk_cash_smuggling"", ""label"": ""Smuggling cash for WMD programs"", ""notes"": ""Transferring bulk cash that could contribute to the DPRK’s nuclear or ballistic missile programs.""}]","Transactions or financial services related to North Korea’s nuclear or ballistic missile programs. | Deceptive activities or practices used by North Korean government agencies or front companies. | Involvement in currency counterfeiting activities emanating from North Korea. | Involvement in drug trafficking activities linked to North Korea. | Attempted evasion of UN Security Council sanctions related to North Korea. | Transfers of financial or other assets, including bulk cash, that could contribute to the DPRK’s WMD programs. | Provision of financial services by persons or financial institutions within a jurisdiction that could contribute to North Korea’s WMD programs or prohibited activities."
